EUR/USD;22.06.2021 08:00:00.000;22.06.2021 09:00:00.000;1,19017;1,19026;1,18921;1,18964;1,19018;1,19026;1,18922;1,18966;1;0;0.00002
EUR/USD;22.06.2021 09:00:00.000;22.06.2021 10:00:00.000;1,18964;1,18995;1,18810;1,18836;1,18966;1,18996;1,18812;1,18837;1;0;0.00001
EUR/USD;22.06.2021 10:00:00.000;22.06.2021 11:00:00.000;1,18836;1,18969;1,18836;1,18932;1,18837;1,18969;1,18837;1,18934;1;0;0.00002
EUR/USD;22.06.2021 11:00:00.000;22.06.2021 12:00:00.000;1,18932;1,19026;1,18912;1,18939;1,18934;1,19027;1,18913;1,18941;1;0;0.00002
EUR/USD;22.06.2021 12:00:00.000;22.06.2021 13:00:00.000;1,18939;1,18977;1,18820;1,18930;1,18941;1,18978;1,18821;1,18931;1;0;0.00001
EUR/USD;22.06.2021 13:00:00.000;22.06.2021 14:00:00.000;1,18930;1,19105;1,18900;1,19035;1,18931;1,19106;1,18902;1,19036;1;0;0.00001
EUR/USD;22.06.2021 14:00:00.000;22.06.2021 15:00:00.000;1,19035;1,19101;1,18962;1,18991;1,19036;1,19104;1,18963;1,18993;1;0;0.00002
EUR/USD;22.06.2021 15:00:00.000;22.06.2021 16:00:00.000;1,18991;1,19119;1,18973;1,19102;1,18993;1,19120;1,18974;1,19102;1;0;0.00000
EUR/USD;22.06.2021 16:00:00.000;22.06.2021 17:00:00.000;1,19102;1,19426;1,19072;1,19345;1,19102;1,19429;1,19074;1,19346;1;0;0.00001
EUR/USD;22.06.2021 17:00:00.000;22.06.2021 18:00:00.000;1,19345;1,19386;1,19317;1,19348;1,19346;1,19386;1,19318;1,19350;1;0;0.00002
EUR/USD;22.06.2021 18:00:00.000;22.06.2021 19:00:00.000;1,19348;1,19457;1,19343;1,19356;1,19350;1,19458;1,19344;1,19358;1;0;0.00002
EUR/USD;22.06.2021 19:00:00.000;22.06.2021 20:00:00.000;1,19356;1,19527;1,19353;1,19411;1,19358;1,19528;1,19353;1,19413;1;0;0.00002
EUR/USD;22.06.2021 20:00:00.000;22.06.2021 21:00:00.000;1,19411;1,19422;1,19368;1,19368;1,19413;1,19431;1,19381;1,19430;1;0;0.00062
EUR/USD;22.06.2021 21:00:00.000;22.06.2021 22:00:00.000;1,19368;1,19401;1,19353;1,19399;1,19430;1,19436;1,19394;1,19407;1;0;0.00008
EUR/USD;22.06.2021 22:00:00.000;22.06.2021 23:00:00.000;1,19399;1,19437;1,19393;1,19394;1,19407;1,19441;1,19395;1,19397;1;0;0.00003
EUR/USD;22.06.2021 23:00:00.000;23.06.2021 00:00:00.000;1,19394;1,19423;1,19363;1,19364;1,19397;1,19426;1,19363;1,19365;1;0;0.00001
EUR/USD;23.06.2021 00:00:00.000;23.06.2021 01:00:00.000;1,19364;1,19401;1,19297;1,19319;1,19365;1,19401;1,19299;1,19320;1;0;0.00001
